Date,AAPL,AMZN,CSCO,GOOGL,INTC,JPM,MSFT,PG,TSLA,V
2021-06-29,134.3921356201172,172.40699768066406,48.71866226196289,122.27249908447266,52.628273010253906,142.5242156982422,265.5223083496094,126.31501007080078,226.9199981689453,231.60955810546875
2021-06-30,135.01318359375,172.00799560546875,48.801536560058594,122.0895004272461,52.06256866455078,143.81874084472656,265.0331115722656,126.81314086914062,226.56666564941406,229.51876831054688
2021-07-01,135.31878662109375,171.64849853515625,49.20667266845703,122.44450378417969,51.942012786865234,145.24267578125,265.7179870605469,127.10449981689453,225.97332763671875,230.82427978515625
2021-07-02,137.9705352783203,175.5489959716797,49.64246368408203,125.25749969482422,52.637542724609375,145.10317993164062,271.63702392578125,127.72476959228516,226.3000030517578,234.24026489257812
2021-07-06,140.00125122070312,183.78700256347656,49.12322235107422,126.19000244140625,52.01620864868164,142.66668701171875,271.6467590332031,127.7999496459961,219.86000061035156,235.19244384765625
2021-07-07,142.51499938964844,184.82899475097656,49.38284683227539,126.4739990234375,51.89564514160156,142.83407592773438,273.8675842285156,128.75865173339844,214.88333129882812,235.58505249023438
2021-07-08,141.20391845703125,186.57049560546875,49.38284683227539,125.04399871826172,51.36705017089844,140.36961364746094,271.4119873046875,128.7398223876953,217.60333251953125,232.25741577148438
2021-07-09,143.04734802246094,185.9669952392578,49.827903747558594,125.51850128173828,51.9234733581543,144.8614044189453,271.9206848144531,128.78680419921875,218.98333740234375,234.08322143554688
2021-07-12,142.4459991455078,185.92750549316406,49.35502624511719,126.97550201416016,52.6097297668457,146.93524169921875,271.3141784667969,128.8901824951172,228.56666564941406,233.49423217773438
2021-07-13,143.5697784423828,183.8679962158203,49.4384765625,127.34149932861328,52.73955535888672,144.7498016357422,274.8948974609375,128.7304229736328,222.84666442871094,237.89183044433594
2021-07-14,147.0299072265625,184.08399963378906,50.15242385864258,128.23699951171875,52.41497039794922,144.25692749023438,276.3917236328125,129.67967224121094,217.7933349609375,241.46487426757812
2021-07-15,146.3694305419922,181.55999755859375,49.74445343017578,127.00499725341797,51.75654983520508,144.57313537597656,274.94378662109375,130.7886962890625,216.86666870117188,243.97776794433594
